time, dt.le, dt.lps, dt.re, dt.rps, dt.rsp, i.jx, i.jy, i.ld, i.ljs, i.lu, i.rjs, i.sd, i.sf, i.ssd, i.ssu, i.su, l.sl, lms.s, r.s, s.aes, s.hf, s.m, s.sf, s.sp, so.fbe, so.fe, so.lbu, so.lu, so.sbrun, so.sbu, so.su, spid.vsp
-2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, false, 0.0, false, 0.0, false, false, false, false, false, true, false, Disabled, 0.0, false, 0.0, false, 0.0, false, false, false, false, true, true, true, 0.0
50098, , , , , , , , , , , , , , , , , , , Teleop, , , , , , , , , , false, , , 
52698, , , , , , , , , , , , , true, , , , , , , , , , , , true, true, , , true, , , 
52898, , , , , , , , , , , , , false, , , , , , , 625.0000000005684, , -0.14967642162984215, , , false, false, , , , , , 
53098, , , , , , , , , , , , , , , , , , , , 112.50000000010232, , -0.04125617594102293, , , , , , , , , , 
53298, , , , , , , , , , , , , , , , , , , , 0.0, , -0.028555394057833323, , , , , , , , , , 
53498, , , , , , , , , , , , , , , , , , , , , , -0.015950977977373604, , , , , , , , , , 
53698, , , , , , , , , , , , , , , , , , , , , , -4.5057564759521214E-4, , , , , , , , , , 
53898, , , , , , , , , , , , , , , , , , , , , , -1.2727646824779373E-5, , , , , , , , , , 
54098, , , , , , , , , , , , , , , , , , , , , , -3.595245206013611E-7, , , , , , , , , , 
54298, , , , , , , , , , , , , , , , , , , , , , -1.0155677847847508E-8, , , , , , , , , , 
54498, , , , , , , , , , , , , , , , , , , , , , -2.8687276288345065E-10, , , , , , , , , , 
54698, , , , , , , , , , , , , , , , , , , , , , -8.103445512682063E-12, , , , , , , , , , 
54898, , , , , , , , , , , , , , , , , , , , , , -2.2890227889527965E-13, , , , , , , , , , 
55098, , , , , , , , , , , , , , , , , , , , -7487.499999985529, , -0.5752705081261638, , -0.25, , , , , , , , 
55298, , , , , , , , , , , , , , , , , , , , -14525.000000013211, , -0.004803992512226615, , -0.5, , , , , , , , 
55498, , , , , , , , , , , , , , , , , , , , -19562.500000017793, , -0.44258771473669734, , -0.75, , , , , , , , 
55698, , , , , , , , , , , , , , , , , , , , -17550.000000015963, , -0.5702924977836156, , , , , , , , , , 
55898, , , , , , , , , , , , , , , , , , , , -18449.99999996434, , -0.31857834976878807, , , , , , , , , , 
56098, , , , , , , , , , , , , , , true, , , , , -18637.49999996398, , -1.082673881456436, , -0.8, , , , , , , , 
56298, , , , , , , , , , , , , , , false, , , , , -19250.00000001751, , -0.3277290152368151, , , , , , , , , , 
56498, , , , , , , , , , , , , , , , , , , , -19675.000000017895, , -0.4301240157945103, , , , , , , , , , 
56698, , , , , , , , , , , , , , , , , , , , -19300.000000017553, , -0.5122362469953332, , , , , , , , , , 
56898, , , , , , , , , , , , , , , , , , , , -19424.999999962456, , -0.43163742472300876, , , , , , , , , , 
57098, , , , , , , , , , , , , , , , , , , , -19537.49999996224, , -0.4551986049431398, , , , , , , , , , 
57298, , , , , , , , , , , , , , , , , , , , -20175.00000001835, , -0.3820432567599582, , -0.82, , , , , , , , 
57498, , , , , , , , , , , , , , , , , , , , -20987.50000001909, , -0.4019137498451819, , -0.85, , , , , , , , 
57698, , , -12.500000000011369, -0.005000000000004548, , , , , , , , , true, , , , , , , -20575.000000018714, , -0.5794475770434219, , , true, true, , , , , , 
57898, 12.500000000011369, 0.006250000000005684, , , , , , , , , , , false, , , , , , , -20624.99999996014, , -0.500840018823008, , , false, false, , , , , , 
58098, 0.0, 0.0, 0.0, 0.0, , , , , , , , , , , , , , , , -19999.999999985706, , -0.5379127254691066, , , , , , , , , , 
58298, , , , , , , , , , , , , , , , , , , , -20462.500000018612, , -0.5122483945742115, , , , , , , , , , 
58498, , , , , , , , , , , , , true, , , , , , , -20700.000000018827, , -0.5027508332473044, , , true, true, , , , , , 
58698, -12.499999999975842, -0.006249999999987921, , , , , , , , , , , false, , , , , , , -20874.999999959655, , -0.4771718818210793, , , false, false, , , , , , 
58898, 0.0, 0.0, , , , , , , , , , , , true, , , , , , -20025.00000001821, , -0.24927783754261507, , -0.82, , , , , , , , 
59098, , , , , , , , , , , , , , false, , , , , , -20375.000000018532, , -0.46901221779316615, , , , , , , , , , 
59298, , , , , , , , , , , , , , , , , , , , -18900.00000001719, , -0.6321546642284375, , -0.8, , , , , , , , 
59498, , , , , , , , , , , , , , , , , , , , -19362.49999996258, , -0.41589392353102267, , , , , , , , , , 
59698, , , , , , , , , , , , , true, , , , , , , -19374.999999962554, , -0.516828138341707, , , true, true, , , , , , 
59898, , , , , , , , , , , , , false, , , , , , , -19437.500000017677, , -0.45696629041425335, , , false, false, , , , , , 
60098, , , , , , , , , , , , , , , , , , , , -19500.000000017735, , -0.47159688282978096, , , , , , , , , , 
60298, , , , , , , , , , , , true, , , , , , , , -19225.000000017484, , -0.5108423429666036, , , , , , , , false, false, 
60498, -25.000000000022737, -0.012500000000011368, 25.000000000022737, 0.010000000000009095, , , , , , , , false, , , , , , , , -19312.499999962674, , -0.4745654243304489, , , , , , , , , , 
60698, 12.499999999975842, 0.006249999999987921, -25.000000000022737, -0.010000000000009095, , , , , , , , , , , , , , , , -19462.499999962387, , -0.527615043603535, , , , , , , , , , 
60898, 0.0, 0.0, 0.0, 0.0, , , , , , , , , , , , , , , , -19400.000000017644, , -0.4675901391848347, , , , , , , , , , 
61098, , , , , , , , , , , , , , , , , , , , -19412.500000017655, , -0.4690891698805863, , , , , , , , , , 
61298, , , , , , , , , , , , , , , , , , , , -19350.0000000176, , -0.4935066067788812, , , , , , , , , , 
61498, , , , , , , , , , , , , , , , , , , , -19487.499999962336, , -0.4782306174996993, , , , , , , , , , 
61698, , , , , , , , , , , , , , , , , , , , -19299.9999999627, , -0.5137720833180102, , , , , , , , , , 
61898, , , , , , , , , , , , , , , , , , , , -19525.000000017757, , -0.45986974707631456, , , , , , , , , , 
62098, , , , , , , , , , , , , , , , , , , , -19437.500000017677, , -0.4712334405315669, , , , , , , , , , 
62298, , , , , , , , , , , , , , , , , , , , -19487.500000017724, , -0.49576028374875025, , , , , , , , , , 
62498, , , , , , , , , , , , , , , , , , , , -19631.57894736278, , -0.4448382291753933, , , , , , , , , , 
