time, dt.le, dt.lps, dt.re, dt.rps, dt.rsp, i.jx, i.jy, i.ld, i.ljs, i.lu, i.rjs, i.sd, i.sf, i.ssd, i.ssu, i.su, l.sl, lms.s, r.s, s.aes, s.hf, s.m, s.sf, s.sp, so.fbe, so.fe, so.lbu, so.lu, so.sbrun, so.sbu, so.su, spid.nto, spid.vsp
-21, , , , , , , , , , , , , , , , , , , Disabled, , , , , , , , , , , , , , 0.0
18779, 0.0, 0.0, 0.0, 0.0, 0.0, , , , , , , , , , , , true, false, , , , , , 0.0, , , , , , , , , 
18879, , , , , , 0.0, 0.0, false, 0.0, false, 0.0, false, false, false, false, false, , , Teleop, 0.0, false, 0.0, false, , false, false, false, false, false, false, false, , 
21179, , 0.005642361111111091, , -0.004427083333333318, 0.004340277777777762, 0.001736111111111105, , , , , , , , , , , , , , , , , , , , , , , , , , , 
21379, , 0.0, , 0.0, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , , , , 
22179, -199.99999999996874, 0.18776041666668222, 174.99999999997266, -0.1557812500000109, 0.22135416666666663, 0.08854166666666666, , , , , , , , , , , , , , , , , , , , , , , , , , , 
22379, -1925.000000000383, 1.2154513888886975, 1562.5000000003108, -1.0838541666665424, 1.6753472222222223, 0.670138888888889, , , , , , , , , , , , , , , , , , , , , , , , , , , 
22579, 474.99999999992576, 0.23749999999996288, -287.49999999995504, -0.11499999999998202, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , , , , 
22779, -302.6315789472815, -0.15131578947364077, -24.999999999996092, -0.009999999999998437, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
22979, 137.50000000002737, 0.06875000000001369, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23179, 1107.1428571428153, -1.2097561632921094, -737.4999999998847, 0.87815895669296, -1.1501558398950134, -0.5013123359580053, -0.11458333333333333, , , , , , , , , , , , , , , , , , , , , , , , , , 
23379, 262.50000000005224, 0.13125000000002612, -150.00000000002984, -0.06000000000001194, 0.0, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , , , 
23579, 35.71428571428436, 0.01785714285714218, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23779, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23979, -250.00000000004974, 0.17492125984249482, -25.000000000004974, 0.2253228346456673, -0.23070866141732285, , 0.2563429571303587, , , , , , , , , , , , , , , , , , , , , , , , , , 
24179, -476.1904761904581, 0.35867641544807805, -487.4999999999238, 0.2732362204724715, -0.45905511811023625, , 0.510061242344707, , , , , , , , , , , , , , , , , , , , , , , , , , 
24379, -750.0000000001493, 0.15011811023614585, -587.5000000001169, 0.17701574803144932, -0.40393700787401576, , 0.44881889763779526, , , , , , , , , , , , , , , , , , , , , , , , , , 
24579, 37.49999999999414, 0.01874999999999707, 24.999999999996092, 0.009999999999998437, 0.0, , 0.0, , , , , , , , , , , , , , , , , , , , , , , , , , 
24779, 0.0, -0.16453125, 0.0, -0.12909375, 0.1265625, , -0.140625, , , , , , , , , , , , , , , , , , , , , , , , , , 
24979, 1012.5000000002015, -0.3996874999998993, 862.5000000001716, -0.36581249999993143, 0.696875, , -0.7743055555555556, , , , , , , , , , , , , , , , , , , , , , , , , , 
25179, 1149.9999999998201, -0.2801562500000899, 1012.4999999998417, -0.2659687500000633, 0.6578125, , -0.7309027777777778, , , , , , , , , , , , , , , , , , , , , , , , , , 
25379, 37.50000000000746, 0.018750000000003732, 37.50000000000746, 0.015000000000002985, 0.0, , 0.0, , , , , , , , , , , , , , , , , , , , , , , , , , 
25579, 0.0, 0.0, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25779, , , , , , , , , , , , , true, , , , , , , , , , , , true, true, , , true, , , , 
25979, , , , , , , , , , , , , false, , , , , , , , , , , , false, false, , , , , , , 
26979, , , , , , , , , , , , , , , true, , , , , -4487.499999999299, , -1.9242815625000513, , -0.25, , , , , , , , , 
27179, , , , , , , , , , , , , , , false, , , , , -5437.500000001081, , 0.05378051502773133, , , , , , , , , , , 
27379, , , , , , , , , , , , , , , , , , , , -6587.49999999897, , -0.01741665794079017, , , , , , , , , , , 
27579, , , , , , , , , , , , , , , true, , , , , -11050.0000000022, , -1.71172949108352, , -0.5, , , , , , , , , 
27779, , , , , , , , , , , , , , , false, , , , , -11562.500000002301, , -0.13603290690059658, , , , , , , , , , , 
27979, , , , , , , , , , , , , , , , , , , , -12600.000000002507, , -0.22098100952864752, , , , , , , , , , , 
28179, , , , , , , , , , , , , , , , , , , , -18074.999999990752, , -1.2238070975474094, , -0.75, , , , , , , , , 
28379, , , , , , , , , , , , , , , , , , , , -19224.999999990163, , 0.04489033696879416, , , , , , , , , , , 
28579, , , , , , , , , , , , , , true, , , , , , -12787.500000002545, , 1.1837588000104697, , -0.5, , , , , , , , , 
28779, , , , , , , , , , , , , , false, , , , , , -13200.000000002627, , -0.4460493597639179, , , , , , , , , , , 
28979, , , , , , , , , , , , , , , , , , , , -6562.500000001306, , 0.7290439575515629, , -0.25, , , , , , , , , 
29179, , , , , , , , , , , , , , true, , , , , , -6324.999999996764, , 3.1902629072994753, , 0.0, , , , , , , , , 
29379, , , , , , , , , , , , , , false, , , , , , -5987.499999996937, , 3.0223843281917824, , , , , , , , , , , 
29579, , , , , , , , , , , , , , , , , , , , -5675.000000001129, , 2.8661288889525247, , , , , , , , , , , 
29779, , , , , , , , , , , , , , , , , , , , -5437.500000001081, , 2.726148795970454, , , , , , , , , , , 
29979, , , , , , , , , , , , , , , , , , , , -5075.0000000010095, , 2.5596332372790265, , , , , , , , , , , 
30179, , , , , , , , , , , , , , , , , , , , -4762.4999999975635, , 2.406607510431571, , , , , , , , , , , 
30379, , , , , , , , , , , , , , , , , , , , -4387.499999997755, , 2.245145753437076, , , , , , , , , , , 
30579, , , , , , , , , , , , , , , , , , , , -4112.5000000008185, , 2.0949492192638504, , , , , , , , , , , 
30779, , , , , , , , , , , , , , , , , , , , -3800.0000000007562, , 1.9329302763460985, , , , , , , , , , , 
30979, , , , , , , , , , , , , , , , , , , , -3512.500000000699, , 1.7806378579079254, , , , , , , , , , , 
31179, , , , , , , , , , , , , , , , , , , , -3162.499999998382, , 1.6199003785821224, , , , , , , , , , , 
31379, , , , , , , , , , , , , , , , , , , , -2837.4999999985484, , 1.457619060593112, , , , , , , , , , , 
31579, , , , , , , , , , , , , , , , , , , , -2550.0000000005075, , 1.3007552488388996, , , , , , , , , , , 
31779, , , , , , , , , , , , , , , , , , , , -2187.500000000435, , 1.1354963225173051, , , , , , , , , , , 
31979, , , , , , , , , , , , , , , , , , , , 112.50000000002238, , 0.5922473983107875, , , , , , , , , , , 
32179, , , , , , , , , , , , , , , , , , , , -987.5000000001965, , 0.22573569810718794, , , , , , , , , , , 
32379, , , , , , , , , , , , , , , , , , , , -75.00000000001492, , -0.040997891195646514, , , , , , , , , , , 
32579, , , , , , , , , , , , , , , , , , , , 6387.499999996732, , 36.10381166865354, , 3.0, , , , , , , , , 
32779, , , , , , , , , , , , , , , , , , , , 14462.500000002878, , 31.92413956474953, , , , , , , , , , , 
32979, , , , , , , , , , , , , , , , , , , , 20175.000000004013, , 28.804935708474545, , , , , , , , , , , 
33179, , , , , , , , , , , , , , , , , , , , 24487.50000000487, , 26.502156197363206, , , , , , , , , , , 
33379, , , -12.500000000002487, -0.005000000000000995, , , , , , , , , , , , , , , , 27787.50000000553, , 24.773112475100838, , , , , , , , , , , 
33579, , , 0.0, 0.0, , , , , , , , , , , , , , , , 29924.99999998469, , 23.50753885447349, , , , , , , , , , , 
33779, , , , , , , , , , , , , , , , , , , , 26250.000000005224, , -14.252660079691148, , 0.0, , , , , , , , , 
33979, , , , , , , , , , , , , , , , , , , , 20925.000000004162, , -10.75350169803161, , , , , , , , , , , 
34179, , , , , , , , , , , , , , , , , , , , 9275.000000001844, , -5.462332001268587, , , , , , , , , , , 
34379, , , , , , , , , , , , , , , , , , , , 8975.000000001786, , -4.535767820720943, , , , , , , , , , , 
34579, , , , , , , , , , , , , , , , , , , , 8649.999999995574, , -4.328493768034794, , , , , , , , , , , 
34779, , , , , , , , , , , , , , , , , , , , 8150.000000001622, , -4.116211133507444, , , , , , , , , , , 
34979, , , , , , , , , , , , , , , , , , , , 7750.000000001542, , -3.9161647512335467, , , , , , , , , , , 
35179, , , , , , , , , , , , , , , , , , , , 7350.0000000014625, , -3.7052480154023453, , , , , , , , , , , 
35379, , , , , , , , , , , , , , , , , , , , 6837.500000001361, , -3.489928416908183, , , , , , , , , , , 
35579, , , , , , , , , , , , , , , , , , , , 6474.999999996688, , -3.2828638034789277, , , , , , , , , , , 
35779, , , , , , , , , , , , , , , , , , , , 6025.000000001199, , -3.0678809964036127, , , , , , , , , , , 
35979, , , , , , , , , , , , , , , , , , , , 5625.000000001119, , -2.8660642986667995, , , , , , , , , , , 
36179, , , , , , , , , , , , , , , , , , , , 5225.00000000104, , -2.6521182130847145, , , , , , , , , , , 
36379, , , , , , , , , , , , , , , , , , , , 4850.000000000965, , -2.449158268658682, , , , , , , , , , , 
36579, , , , , , , , , , , , , , , , , , , , 4412.499999997743, , -2.2390333768504114, , , , , true, true, , true, true, , 
36779, , , , , , , , , , , , , , , , , , , , 3987.5000000007935, , -2.0311089461215763, , , , , , , , , , , 
36979, , , , , , , , , , , , , , , , , , , , 3562.500000000709, , -1.8201542898575231, , , , , , , , , , , 
37179, , , , , , , , , , , , , , , , , , , , 1112.5000000002212, , -1.2217696274989485, , , , , , , , , , , 
37379, , , , , , , , , , , , , , , , , , , , 1212.5000000002412, , -0.03254882400546396, , , , , , , , , , , 
37579, , , , , , , , , , , , , , , , , , , , -437.4999999997762, , 0.2035489791196806, , , , , , , , , , , 
37779, , , , , , , , , , , , , , , , , , , , 0.0, , -0.01364007443582099, , , , , , , , , , , 
37979, , , , , , , , , , , , , , , , , , , , , , -3.852983422637067E-4, , , , , , , , , , , 
38179, , , , , , , , , , , , , , , , , , , , , , -1.0883724517022771E-5, , , , , , , , , , , 
38379, , , , , , , , , , , , , , , , , , , , , , -3.0743827929934103E-7, , , , , false, false, , false, false, , 
38579, , , , , , , , , , , , , , , , , , , , , , -8.684370449721285E-9, , , , , , , , , , , 
38779, , , , , , , , , , , , , , , , , , , , , , -2.4531197051932605E-10, , , , , , , , , , , 
38979, , , , , , , , , , , , , , , , , , , , , , -6.929455995512723E-12, , , , , , , , , , , 
39179, , , , , , , , , , , , , , , , , , , , , , -1.957399807766998E-13, , , , , , , , , , , 
39379, , , , , , , , , , , , , , , , , , , , , , -5.5291699809153436E-15, , , , , , , , , , , 
39579, , , , , , , , , , , , , , , , , , , , , , -1.561853667122386E-16, , , , , , , , , , , 
39779, , , , , , , , , , , , , , , , , , , , , , -4.4118500352195866E-18, , , , , , , , , , , 
39979, , , , , , , , , , , , , , , , , , , , , , -1.2462384372493104E-19, , , , , , , , , , , 
40179, , , , , , , , , , , , , , , , , , , , , , -3.5203151287536964E-21, , , , , , , , , , , 
40379, , , , , , , , , , true, , , , , , , , , , , , -9.944018925531668E-23, , , , , true, true, , , , , 
40579, , , , , , , , , , false, , , , , , , , , , , , -2.8089392220502684E-24, , , , , , , , , , , 
40779, , , , , , , , , , , , , , , , , , , , , , -7.934558061745153E-26, , , , , , , , , , , 
40979, , , , , , , , , , , , , , , , , , , , , , -2.241316264196418E-27, , , , , , , , , , , 
41179, , , , , , , , , , , , , , , , , , , , , , -6.331163698166326E-29, , , , , , , , , , , 
41379, , , , , , , , , , , , , , , , , , , , , , -1.7883970420992928E-30, , , , , , , , , , , 
41579, , , , , , , , , , , , , , , , , , , , , , -5.051778997778607E-32, , , , , , , , , , , 
41779, , , , , , , , , , , , , , , , , , , , , , -1.4270025302904814E-33, , , , , , , , , , , 
41979, , , , , , , , , , , , , , , , true, , , , , , -4.030928950674334E-35, , , , , , , , true, true, , 
42179, , , , , , , , , , , , , , , , false, , , , , , -1.1386376590430406E-36, , , , , , , , , , , 
42379, , , , , , , , , , , , , , , , , , , , , , -3.216369562589598E-38, , , , , , , , , , , 
42579, , , , , , , , , , , , , , , , , , , , , , -9.085447930685171E-40, , , , , , , , , , , 
42779, , , , , , , , , , , , , , , , , , , , , , -2.5664141664968276E-41, , , , , , , , , , , 
42979, , , , , , , , , , , , true, , , , , , , , , , -7.249484807183182E-43, , , , , , , , false, false, , 
43179, , , , , , , , , , , , false, , , , , , , , , , -2.0478000260307854E-44, , , , , , , , , , , 
43379, , , , , , , , , , , , , , , , , , , , , , -5.784528222552523E-46, , , , , , , , , , , 
43579, , , , , , , , , , , , , , , , , , , , , , -1.6339860500130506E-47, , , , , , , , , , , 
43779, , , , , , , , , , , , , , , , , , , , , , -4.615606163399626E-49, , , , , , , , , , , 
