time, dt.le, dt.lps, dt.re, dt.rps, dt.rsp, i.jx, i.jy, i.ld, i.ljs, i.lu, i.rjs, i.sd, i.sf, i.ssd, i.ssu, i.su, l.sl, lms.s, r.s, s.aes, s.aest, s.hf, s.m, s.sf, s.sp, so.fbe, so.fe, so.lbu, so.lu, so.sbrun, so.sbu, so.su, spid.vsp
-7, , , , , , , , , , , , , , , , , , , Disabled, , , , , , , , , , , , , , 0.0
12293, -0.010461126454096577, , 0.010459813396928998, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12393, , -5.2305632270482886E-6, , 4.183925358771599E-6, 0.0, , , , , , , , , , , , true, false, , 0.0, 0.0, false, 0.0, false, 0.0, false, , false, , true, false, , 
12493, 0.0, 0.0, 0.0, 0.0, , 0.0, 0.0, false, 0.0, false, 0.0, false, false, false, false, false, , , , , , , , , , , false, , false, , , false, 
15893, , , , , , , , , , , , , , , , , , , , -0.20750000000000443, -283.0, , -10.218064124999984, , -0.92, , , , , , true, true, 
16093, , , , , , , , , , , , , , , , , , , , -0.5955000000000127, -2444.0, , -5.337145567979897, , , , , , , , , , 
16293, , , , , , , , , , , , , , , , , , , , -0.8425000000000179, -6182.0, , -1.7518148118679855, , , , , , , , , , 
16493, , , , , , , , , , , , , , , , , , , , -0.8779999999998628, -10796.0, , -0.3549518914143155, , , , , , , , , , 
16693, , , , , , , , , , , , , , , , , , , , -0.9065000000000194, -15227.0, , -0.4986551176122175, , , , , , , , , , 
16893, , , , , , , , , , , , , , , , , , , , -0.8920000000000191, -19716.0, , -0.5759979791736151, , , , , , , , , , 
17093, , , , , , , , , , , , , , , , , , , , -0.8960000000000191, -24197.0, , -0.5480842058113976, , , , , , , , , , 
17293, , , , , , , , , , , , , , , , , , , , -0.8680000000000185, -28676.0, , -0.5853618013131491, , , , , , , , , , 
17493, , , , , , , , , , , , , , , , , , , , -0.8944999999998602, -33150.0, , -0.5310594501147298, , , , , , , , , , 
17693, , , , , , , , , , , , , , , , , , , , -0.8785000000000188, -37623.0, , -0.5906842731354336, , , , , , , , , , 
17893, , , , , , , , , , , , , , , , , , , , -0.9220000000000197, -42114.0, , -0.448453136173448, , , , , , , , , , 
