time, dt.le, dt.lps, dt.re, dt.rps, dt.rsp, i.jx, i.jy, i.ld, i.ljs, i.lu, i.rjs, i.sd, i.sf, i.ssd, i.ssu, i.su, l.sl, lms.s, r.s, s.aes, s.aest, s.hf, s.m, s.sf, s.sp, so.fbe, so.fe, so.lbu, so.lu, so.sbrun, so.sbu, so.su, spid.nto, spid.vsp
-96, , , , , , , , , , , , , , , , , , , , , , , , , , , false, , , , , true, , 
4, , , , 0.0, 0.0, 0.0, 0.0, false, 0.0, , , , , , false, false, , false, Disabled, , -4509936.0, false, , false, , , , , , , , , true, -0.94
104, 0.0, 0.0, 0.0, , , , , , , false, 0.0, false, false, false, , , true, , , -0.911500000000829, , , -0.5823793089735081, , -0.94, false, , false, false, true, true, , , 
11404, , , , , , , , , , , , , , , , , , , Teleop, , , , , , , , , , , , , , , 
11504, , , , , , , , , , , , , , , , , , , , -0.05200000000004729, -4618785.0, , -7.396728509191361, , , , , , , false, , , , 
11704, , , , , , , , , , , , , , , , , , , , -0.43000000000039107, -4620129.0, , -7.503247534274321, , , , , , , , , , , 
11904, , , , , , , , , , , , , , , , , , , , -0.7035000000006398, -4623069.0, , -3.925913170091935, , , , , , , , , , , 
12104, , , , , , , , , , , , , , , , , , , , -0.907499999998246, -4627181.0, , -1.1811145224653956, , , , , , , , , , , 
12304, , , , , , , , , , , , , , , , , , , , -0.9024999999982558, -4631859.0, , -0.5063293299760243, , , , , , , , , , , 
12504, , , , , , , , , , , , , , , , , , , , -0.9230000000008395, -4636409.0, , -0.5361133948738079, , , , , , , , , , , 
12704, , , , , , , , , , , , , , , , , , , , -0.9245000000008408, -4640988.0, , -0.5534536874107471, , , , , , , , , , , 
12904, , , , , , , , , , , , , , , , , , , , -0.918000000000835, -4645557.0, , -0.5279626354477732, , , , , , , , , , , 
13104, , , , , , , , , , , , , , , , , , , , -0.9114999999982384, -4650122.0, , -0.5935118810072617, , , , , , , true, false, false, , 
13304, 12.499999999975842, 0.006249999999987921, , , , , , , , , , , , , , , , , , -0.9124999999982365, -4654700.0, , -0.5439953513960408, , , , , , , , , , , 
13504, 12.500000000011369, 0.006250000000005684, , , , , , , , , , , , , , , , , , -0.9010000000008194, -4659261.0, , -0.6073299554474378, , , , , , , , , , , 
13704, 0.0, 0.0, , , , , , , , , , , , , , , , , , -0.9125000000008299, -4663835.0, , -0.576884903192049, , , , , , , , , , , 
13904, , , , , , , , , , , , , , , , , , , , -0.9070000000008249, -4668403.0, , -0.5746758620439814, , , , , , , , , , , 
14104, , , , , , , , , , , , , , , , , , , , -0.9129999999982354, -4672971.0, , -0.5734784986755185, , , , , , , , , , , 
14304, , , , , , , , , , , , , , , , true, , , , -0.9149999999982317, -4677541.0, , -0.5542752024379751, , , , , , , , true, true, , 
14504, , , , , , , , , , , , , , , , false, , , , -0.9140000000008314, -4682105.0, , -0.5810242757418946, , , , , , , , , , , 
14704, , , , , , , , , , , , , , , , , , , , -0.9155000000008326, -4686678.0, , -0.5443373721701428, , , , , , , , , , , 
14904, , , , , , , , , , , , , , , , , , , , -0.9070000000008249, -4691239.0, , -0.5852746454922544, , , , , , , , , , , 
15104, , , , , , , , , , , , , , , , , , , , -0.9109999999982393, -4695813.0, , -0.5713949796111064, , , , , , , , , , , 
15304, -24.999999999951683, -0.012499999999975841, , , , , , , , , , , , , , , , , , -0.9219999999982181, -4700379.0, , -0.5218221624194521, , , , , , , , , , , 
15504, 0.0, 0.0, , , , , , , , , , , , , , , , , , -0.9065000000008245, -4704945.0, , -0.5933148275991043, , , , , , , , , , , 
15704, , , , , , , , , , , , , , , , , , , , -0.9070000000008249, -4709512.0, , -0.5791921319423218, , , , , , , , , , , 
15904, , , , , , , , , , , , , , , , , , , , -0.9160000000008331, -4714079.0, , -0.5533765307567919, , , , , , , , , , , 
16104, , , , , , , , , , , , , , , , , , , , -0.90549999999825, -4718643.0, , -0.6082373518801942, , , , , , , , , , , 
16304, , , , , , , , , , , , , , , , , , , , -0.9149999999982317, -4723214.0, , -0.5751839082949973, , , , , , , , , , , 
16504, , , , , , , , , , , , , , , , , , , , -0.9230000000008395, -4727786.0, , -0.5467124950855613, , , , , , , , , , , 
16704, , , , , , , , , , , , , , , , , , , , -0.905999999998249, -4732324.0, , -0.5958232782885606, , , , , , , , , , , 
16904, , , , , , , , , , , , , , , , , , , , -0.7985000000007263, -4736834.0, , -1.0181564189512338, , , , , , , , , , , 
17104, 12.500000000011369, 0.006250000000005684, , , , , , , , , , , , , , , , , , -0.8995000000008181, -4740815.0, , -1.3585113605063817, , , , , , , , , , , 
17304, 0.0, 0.0, , , , , , , , , , , , , , , , , , -0.9170000000008339, -4745496.0, , -0.34463089984820905, , , , , , , , , , , 
17504, , , , , , , , , , , , , , , , , , , , -0.9210000000008376, -4750018.0, , -0.5850965817961624, , , , , , , , , , , 
17704, , , , , , , , , , , , , , , , , , , , -0.9069999999982471, -4754600.0, , -0.5974749445605629, , , , , , , , , , , 
17804, , , , , , , , , , , , , , , , , , , , -0.9075000000008254, -4759169.0, , -0.5599413038246603, , , , , , , , , , , 
18004, 25.000000000022737, 0.012500000000011368, , , , , , , , , , , , , , , , , , -0.685000000000623, -4763546.0, , -1.8080922604730842, , , , , , , , , , , 
18204, 0.0, 0.0, , , , , , , , , , , , , , , , , , -0.9010000000008194, -4767605.0, , -1.251600777915972, , , , , , , , , , , 
18404, , , , , , , , , , , , , , , , , , , , -0.9195000000008363, -4772294.0, , -0.35332581901917, , , , , , , , , , , 
18604, , , , , , , , , , , , , , , , , , , , -0.919499999998223, -4776818.0, , -0.5861061599073891, , , , , , , , , , , 
18804, , , , , , , , , , , , , , , , , , , , -0.9160000000008331, -4781399.0, , -0.5561075437768995, , , , , , , , , , , 
19004, -11.904761904753398, -0.005952380952376699, , , , , , , , , , , , , , , , , , -0.7500000000006822, -4785594.0, , -2.297398169498134, , , , , , , , , , , 
19204, 0.0, 0.0, , , , , , , , , , , , , , , , , , -0.9315000000008472, -4789852.0, , -0.8099015383334481, , , , , , , , , , , 
19404, , , , , , , , , , , , , , , , , , , , -0.8830000000008031, -4794502.0, , -0.6476906661134163, , , , , , , , , , , 
19604, , , , , , , , , , , , , , , , , , , , -0.9284999999982054, -4799063.0, , -0.5007301634472824, , , , , , , , , , , 
19804, , , , , , , , , , , , , , , , , , , , -0.9290000000008449, -4803631.0, , -0.5734962596833775, , , , , , , , , , , 
20004, 12.500000000011369, 0.006250000000005684, , , , , , , , , , , true, , , , , , , -0.7510000000006831, -4808107.0, , -1.2458576653589954, , , true, true, , , , , , , 
20204, , , , , , , , , , , , , false, , , , , , , -0.8875000000008072, -4812094.0, , -1.3775559864863207, , , false, false, , , , , , , 
20404, 0.0, 0.0, , , , , , , , , , , , , , , , , , -0.9120000000008295, -4816775.0, , -0.3519885477620592, , , , , , , , , , , 
20604, , , , , , , , , , , , , , , , , , , , -0.9184999999982248, -4821295.0, , -0.6016988088779345, , , , , , , , , , , 
20804, , , , , , , , , , , , , , , , , , , , -0.9055000000008235, -4825883.0, , -0.5848462700458694, , , , , , , , , , , 
21004, , , , , , , , , , , , , , , , , , , , -0.8819047619041317, -4830460.0, , -0.631068492209888, , , , , , , , , , , 
21204, , , , , , , , , , , , , , , , , , , , -0.9165000000008335, -4835020.0, , -0.5184218375836571, , , , , , , , , , , 
21404, , , , , , , , , , , , , , , , , , , , , -4839591.0, , -0.48654837688921904, , , , , , , , , , , 
21604, , , , , , , , , , , , , , , , , , , , -0.9189999999982239, -4844155.0, , -0.5162719479938951, , , , , , , , , , , 
21804, , , , , , , , , , , , , , , , , , , , -0.9125000000008299, -4848715.0, , -0.5215381994764594, , , , , , , , , , , 
22004, , , , , , , , , , , , , , , , , , , , -0.9285000000008444, -4853291.0, , -0.4440287756973139, , , , , , , , , , , 
22204, , , , , , , , , , , , , , , , , , , , -0.9510526315786741, -4857861.0, , -0.4386705206665956, , , , , , , , , , , 
22404, , , , , , , , , , , , , , , , , , , , -0.9295000000008453, -4862418.0, , -0.4984126033213233, , , , , , , , , , , 
22604, , , , , , , , , , , , , , , , , , , , -0.8709523809517585, -4866998.0, , -0.6376200140314614, , , , , , , , , , , 
22804, , , , , , , , , , , , , , , , , , , , -0.9568421052628832, -4871565.0, , -0.41071999522361874, , , , , , , , , , , 
23004, , , , , , , , , , , , , , , , , , , , -0.9175000000008344, -4876113.0, , -0.5870651862975955, , , , , , , , , , , 
23204, , , , , , , , , , , , , , , , , , , , -0.8776190476184205, -4880703.0, , -0.6035383616852632, , , , , , , , , , , 
23404, , , , , , , , , , , , , , , , , , , , -0.9065000000008245, -4885250.0, , -0.5854228738044693, , , , , , , , , , , 
23604, , , , , , , , , , , , , , , , , , , , -0.921499999998219, -4889817.0, , -0.5422923403835229, , , , , , , , , , , 
23804, , , , , , , , , , , , , , , , , , , , -0.9120000000008295, -4894403.0, , -0.48365911029958075, , , , , , , , , , , 
24004, , , , , , , , , , , , , , , , , , , , -0.9110000000008286, -4898958.0, , -0.46675761622797474, , , , , , , , , , , 
24204, , , , , , , , , , , , , , , , , , , , -0.9521052631576212, -4903525.0, , -0.4548571164206605, , , , , , , , , , , 
24404, , , , , , , , , , , , , , , , , , , , -0.9165000000008335, -4908083.0, , -0.5829942016803944, , , , , , , , , , , 
24604, , , , , , , , , , , , , , , , , , , , -0.9094999999982423, -4912669.0, , -0.4783071885729205, , , , , , , , , , , 
24804, , , , , , , , , , , , , , , , , , , , -0.9290000000008449, -4917241.0, , -0.507300124972935, , , , , , , , , , , 
25004, , , , , , , , , , , , , , , , , , , , -0.9179999999982258, -4921804.0, , -0.5845231810962142, , , , , , , , , , , 
25204, , , , , , , , , , , , , , , , , , , , -0.9154999999982306, -4926379.0, , -0.549189809329071, , , , , , , , , , , 
25404, , , , , , , , , , , , , , , , , , , , -0.918000000000835, -4930942.0, , -0.5654840280448625, , , , , , , , , , , 
25604, , , , , , , , , , , , , , , , , , , , -0.906499999998248, -4935491.0, , -0.6043225126366051, , , , , , , , , , , 
25804, , , , , , , , , , , , , , , , , , , , -0.911500000000829, -4940070.0, , -0.5427769525030562, , , , , , , , , , , 
26004, , , , , , , , , , , , , , , , , , , , -0.9130000000008304, -4944631.0, , -0.5151767108574186, , , , , , , , , , , 
26204, , , , , , , , , , , , , , , , , , , , -0.8809523809517514, -4949203.0, , -0.5884494689918028, , , , , , , , , , , 
26404, , , , , , , , , , , , , , , , , , , , -0.9563157894762706, -4953755.0, , -0.480845882269763, , , , , , , , , , , 
26604, , , , , , , , , , , , , , , , , , , , -0.9119999999982374, -4958320.0, , -0.5402304030718588, , , , , , , , , , , 
26804, , , , , , , , , , , , , , , , , , , , -0.9563157894734096, -4962899.0, , -0.41476074602976587, , , , , , , , , , , 
27004, , , , , , , , , , , , , , , , , , , , -0.8766666666660402, -4967470.0, , -0.5795008591590376, , , , , , , , , , , 
27204, , , , , , , , , , , , , , , , , , , , -0.9049999999982509, -4972027.0, , -0.6471395776937388, , , , , , , , , , , 
27404, , , , , , , , , , , , , , , , , , , , -0.872857142856519, -4976602.0, , -0.5991662607684611, , , , , , , , , , , 
27604, , , , , , , , , , , , , , , , , , , , -0.9085000000008263, -4981168.0, , -0.5637921982402495, , , , , , , , , , , 
27804, , , , , , , , , , , , , , , , , , , , -0.9145000000008318, -4985728.0, , -0.6512543399812748, , , , , , , , , , , 
28004, , , , , , , , , , , , , , , , , , , , , -4990305.0, , -0.44562310747317313, , , , , , , , , , , 
28204, , , , , , , , , , , , , , , , , , , , -0.922999999998216, -4994879.0, , -0.5025661048334695, , , , , , , , , , , 
28404, , , , , , , , , , , , , , , , , , , , -0.9125000000008299, -4999438.0, , -0.6045226984234924, , , , , , , , , , , 
28604, , , , , , , , , , , , , , , , , , , , -0.9175000000008344, -5004013.0, , -0.5485643734406549, , , , , , , , , , , 
28804, , , , , , , , , , , , , , , , , , , , -0.9130000000008304, -5008580.0, , -0.562920660472817, , , , , , , , , , , 
29004, , , , , , , , , , , , , , , , , , , , -0.92099999999822, -5013140.0, , -0.5710164219523994, , , , , , , , , , , 
29204, , , , , , , , , , , , , , , , , , , , -0.9139999999982336, -5017716.0, , -0.5573685719606383, , , , , , , , , , , 
29404, , , , , , , , , , , , , , , , , , , , -0.9195000000008363, -5022281.0, , -0.545448915832676, , , , , , , , , , , 
29604, , , , , , , , , , , , , , , , , , , , -0.9110000000008286, -5026845.0, , -0.5858670063130684, , , , , , , , , , , 
29804, , , , , , , , , , , , , , , , , , , , -0.9155000000008326, -5031420.0, , -0.5488450443598776, , , , , , , , , , , 
30004, , , , , , , , , , , , , , , , , , , , -0.9009999999982587, -5035981.0, , -0.6085438661771987, , , , , , , , , , , 
30204, , , , , , , , , , , , , , , , , , , , -0.9184999999982248, -5040558.0, , -0.5250386328970962, , , , , , , , , , , 
30404, , , , , , , , , , , , , , , , , , , , -0.9185000000008354, -5045121.0, , -0.5650762407845578, , , , , , , , , , , 
30604, , , , , , , , , , , , , , , , , , , , -0.9020000000008205, -5049686.0, , -0.6107661580500425, , , , , , , , , , , 
30804, , , , , , , , , , , , , , , , , , , , -0.9190000000008358, -5054265.0, , -0.5182265232641929, , , , , , , , , , , 
31004, , , , , , , , , , , , , , , , , , , , -0.9199999999982219, -5058823.0, , -0.5761086646965777, , , , , , , , , , , 
31204, , , , , , , , , , , , , , , , , , , , -0.922999999998216, -5063397.0, , -0.5476712709282147, , , , , , , , , , , 
31404, , , , , , , , , , , , , , , , , , , , -0.9085000000008263, -5067962.0, , -0.5925298765890402, , , , , , , , , , , 
31604, , , , , , , , , , , , , , , , , , , , -0.9140000000008314, -5072532.0, , -0.5544927371666091, , , , , , , , , , , 
31804, , , , , , , , , , , , , , , , , , , , -0.9240000000008404, -5077101.0, , -0.533560849883419, , , , , , , , , , , 
32004, , , , , , , , , , , , , , , , , , , , -0.9094999999982423, -5081665.0, , -0.5808563317525877, , , , , , , , , , , 
32204, , , , , , , , , , , , , , , , , , , , -0.9154999999982306, -5086233.0, , -0.5648287874846155, , , , , , , , , , , 
32404, , , , , , , , , , , , , , , , , , , , -0.9135000000008308, -5090801.0, , -0.5621418308902412, , , , , , , , , , , 
32604, , , , , , , , , , , , , , , , , , , , -0.900500000000819, -5095368.0, , -0.5945218411891255, , , , , , , , , , , 
32804, , , , , , , , , , , , , , , , , , , , -0.9155000000008326, -5099939.0, , -0.531944370013538, , , , , , , , , , , 
33004, , , , , , , , , , , , , , , , , , , , -0.9114999999982384, -5104507.0, , -0.5465375614441381, , , , , , , , , , , 
33204, , , , , , , , , , , , , , , , , , , , -0.9174999999982267, -5109068.0, , -0.5505707096452024, , , , , , , , , , , 
33404, , , , , , , , , , , , , , , , , , , , -0.911500000000829, -5113635.0, , -0.5929445440951622, , , , , , , , , , , 
33604, -12.500000000011369, -0.006250000000005684, , , , , , , , , , , , , , , , , , -0.9155000000008326, -5118206.0, , -0.5670194523597565, , , , , , , , , , , 
33804, 0.0, 0.0, , , , , , , , , , , , , , , , , , -0.9160000000008331, -5122766.0, , -0.6021762359397035, , , , , , , , , , , 
34004, , , , , , , , , , , , , , , , , , , , -0.9120000000008295, -5127310.0, , -0.5928770738240674, , , , , , , , , , , 
34204, , , , , , , , , , , , , , , , , , , , -0.9190000000008358, -5131883.0, , -0.5537594011579949, , , , , , , , , , , 
34404, , , , , , , , , , , , , , , , , , , , -0.9120000000008295, -5136444.0, , -0.5881845282004978, , , , , , , , , , , 
34604, , , , , , , , , , , , , , , , , , , , -0.9114999999982384, -5141012.0, , -0.5817556213866502, , , , , , , , , , , 
34804, , , , , , , , , , , , , , , , , , , , -0.905000000000823, -5145582.0, , -0.5816832471255439, , , , , , , , , , , 
35004, , , , , , , , , , , , , , , , , , , , -0.9105000000008282, -5150149.0, , -0.5611893648602126, , , , , , , , , , , 
35204, , , , , , , , , , , , , , , , , , , , -0.9215000000008381, -5154713.0, , -0.555074230325341, , , , , , , , , , , 
35404, , , , , , , , , , , , , , , , , , , , -0.9125000000008299, -5159281.0, , -0.5627133467932091, , , , , , , , , , , 
35604, , , , , , , , , , , , , , , , , , , , -0.9009999999982587, -5163845.0, , -0.5878221000692884, , , , , , , , , , , 
35804, , , , , , , , , , , , , , , , , , , , -0.9200000000008367, -5168409.0, , -0.557125072270588, , , , , , , , , , , 
36004, , , , , , , , , , , , , , , , , , , , -0.9175000000008344, -5172977.0, , -0.5823802723607187, , , , , , , , , , , 
36204, , , , , , , , , , , , , , , , , , , , -0.9130000000008304, -5177540.0, , -0.5712045294979816, , , , , , , , , , , 
36404, , , , , , , , , , , , , , , , , , , , -0.9245000000008408, -5182106.0, , -0.5619766130370081, , , , , , , , , , , 
36604, , , , , , , , , , , , , , , , , , , , -0.9179999999982258, -5186669.0, , -0.5789308228024002, , , , , , , , , , , 
36804, , , , , , , , , , , , , , , , , , , , -0.9075000000008254, -5191233.0, , -0.6105490285945707, , , , , , , , , , , 
37004, , , , , , , , , , , , , , , , , , , , -0.9135000000008308, -5195802.0, , -0.5805293645066614, , , , , , , , , , , 
37204, , , , , , , , , , , , , , , , , , , , -0.9040000000008221, -5200362.0, , -0.6199054190039933, , , , , , , , , , , 
37404, , , , , , , , , , , , , , , , , , , , -0.900500000000819, -5204930.0, , -0.6121738768597661, , , , , , , , , , , 
37604, , , , , , , , , , , , , , , , , , , , -0.9039999999982529, -5209502.0, , -0.5811284328294787, , , , , , , , , , , 
37804, 12.500000000011369, 0.006250000000005684, , , , , , , , , , true, , , , , , , , -0.9085000000008263, -5214063.0, , -0.5702244165987395, , , , , , , , false, false, , 
38004, , , , , , , , , , , , false, , , , , , , , -0.9195000000008363, -5218634.0, , -0.5407875528179829, , , , , , , , , , , 
38204, 0.0, 0.0, , , , , , , , , , , , , , , , , , -0.9135000000008308, -5223192.0, , -0.6081953181673889, , , , , , , , , , , 
38404, , , , , , , , , , , , , , , , , , , , -0.9175000000008344, -5227759.0, , -0.5853601392904529, , , , , , , , , , , 
38604, , , , , , , , , , , , , , , , , , , , -0.919499999998223, -5232328.0, , -0.5562648989495556, , , , , , , , , , , 
38804, , , , , , , , , , , , , , , , true, , , , -0.9165000000008335, -5236892.0, , -0.5353118954215788, , , , , , , , true, true, , 
39004, , , , , , , , , , , , , , , , false, , , , -0.9140000000008314, -5241449.0, , -0.5784743097558094, , , , , , , , , , , 
39204, , , , , , , , , , , , , , , , , , , , -0.9135000000008308, -5246015.0, , -0.5796781772602208, , , , , , , , , , , 
39404, , , , , , , , , , , , , , , , , , , , -0.9190000000008358, -5250572.0, , -0.5924009541281848, , , , , , , , , , , 
39604, 12.499999999975842, 0.006249999999987921, , , , , , , , , , , , , , , , , , -0.9039999999982529, -5255144.0, , -0.6038609355517365, , , , , , , , , , , 
39804, 0.0, 0.0, , , , , , , , , , , , , , , , , , -0.9105000000008282, -5259711.0, , -0.5781711068609493, , , , , , , , , , , 
40004, , , , , , , , , , , , , , , , , , , , -0.7370000000006702, -5263909.0, , -2.31371266634383, , , , , , , , , , , 
